comment,toxic
"Мне тоже больше нравится вариант с одной камерой. Да, могу рассказать, но только про те, что сам использую. У меня не так уж много опыта в фото.
",0.0
"Согласен. при существующей стоимости рабочей силы- это выгодно только в отдельных случаях.Но есть и инетерсные решения.Александр Саяпин держит уоров без помещений и робот себя , в этом случае, окупает.
",0.0
русня белые мужчины белые мужчины,1.0
"проклятье - олигархов их долбанутые детишки
",1.0
"Насчёт Билайна, могу сказать одно-у них за два года пользования, ничего мне никто не подключал и уже больше года я плачу 250 р за 100мбит сек, потому что в первые 3 месяца они накосячили, интернет не работал сутки, они мне дали 3 месяца бесплатного пользования, чтоб я не ругался, потом интернета не было 2-е суток, я позвонил в отдел расторжения договоров, и попросил расторгнуть договор, получил скидку на тариф в 50 на постоянной основе
",0.0
"Ну таки в нормальном детсаде могут и 40 тыр в мес платить на руки. Плюс стаж и опыт - потом можно в частную школу и репетитором, по Москве это от 100 тыр в мес (сестра до 200 тыр в мес на репетиторстве имеет около 100 тыр в мес школа платит) Плюс может хочет сеять разумное, доброе, вечное.
",0.0
"Ну так можно купить в случае неприятностей, заказав доставку. А еще финансовая подушка на полгода - охуенная тема.
",0.0
"А как классно летом, жара over 30, холодненькой, даже ледяной окрошечки на кваске, с огурчиками и зеленью! ММММ !!!
",0.0
"Картинка конечно гуманитарная, (обьём в м2).. а посыл я думаю такой что если в машинах люди будут ездить по 5 человек, а не по одному, то пробки минимум в пять раз уменьшаться.
",0.0
"Причем количеством СССР тоже не особо славился
",0.0
"Сиськи никогда не запретят
",0.0
"1. Старбакс понижает цены 2. Старбакс скупает точки обанкротившихся кофеен 3. Старбакс повышает цены. 4. Никто не может с этим ничего сделать, потому что выбора нет. старбакс диктует свои цены и правила. В этом задача анти-монопольной службы в том, чтобы не давать скупать монополиям критичные ресурсы.
",0.0
"смысл в спутниковом интернете, это доступ в оный из любой точки мира. если была бы необходимость в наземных станциях, то от него не было бы смысла
",0.0
"так возьмите любой документ, подписанный кем-то. Вы каким образом будете устанавливать то, что этот документ подписал именно тот человек? Если вы эксперт, то хорошо, да и то, почерковедческая экспертиза не однозначное доказательство Каждый верит в то, что он поверил. Реально неоспоримых фактов гораздо меньше, чем их таковыми выставляют.
",0.0
"Именно так наши вечера с детьми и соседским ремонтом и проходят:с
",0.0
"Горизонт завален из-за видоискателя Ни в коем случае не наезд, но почему бы просто не поправить завал парой кликов в Фотошопе? Не думаю, что плёночная религия этого не позволяет. Кадры бы только выиграли, пресловутого лампового тепла от этого меньше не стало бы.
",0.0
"Сейчас соседка рыбу жарит, на весь подъезд запах идёт
",0.0
"Интересно, как же это связано? Но, нет, не отдаю. Ничего из этого нет.
",0.0
Ты сам вообще задумывался над тем что тут написано? Или просто скопипастил?,1.0
"Книги нет, только комиксы и сюжеты для игр, но ближайший релиз только к 2020 году.
",0.0
"выигрывают в цене Если только минимальные комплектации. В любом случае 1.5 млн отдавать за среднего корейца - это бред.
",0.0
"Хуй чурки с причмоком проглотит, Пизду и со спидом отдаст
",1.0
"Таможеня и СОБР совершенно разные структуры. Каким образом боец подразделения силового обеспечения мог повлиять на растоможку товара?
",0.0
"Я вот тоже не понял. Допустим. Ну летит Старфайтер со скоростью 2 Маха. Стреляет снарядами со скоростью 1 Мах. Скорость снаряда - 1 Мах свой плюс 2 Маха самолета, итого 3 Маха (про Эйнштейна не надо, пренебрежем релятивистскими эффектами). Как самолет со скоростью 2 Маха догонит снаряд со скоростью 3 Маха? Да, снаряд не имеет своего двигателя и будет тормозиться о воздух, но он: 1) успеет отлететь на приличное расстояние от самолета, 2) летит по другой траектории, чем самолет - у самолета, условно, прямая линия, у снаряда - баллистическая. Ну разве летчик будет пытаться повторять траекторию снаряда в течение того времени, пока не догонит снаряд? В общем, вопросов у меня больше, чем ответов.
",0.0
"2) 3) СТИРАЯ И УБИРАЯ ГОВНО ГОЛОЙ СМОЧЕННОЙ РУКОЙ Пошел нахуй, чухан.
",1.0
", оскорбление пользователя пикабу.
",1.0
"СКОРО, ТАРАСИКИ, УЖЕ СКОРО",1.0
"Ну, ВВС - не совсем наши пока)
",0.0
"Что ты, блять, несёшь... Стоп. Ты - бабка у подъезда? О о
",1.0
"Да по-большому счету, кому что надо, то и смогу сделать) В этом вся прелесть ручной работы) Нет нужды бегать по магазинам и выбирать, нужен 1 карман - пожалуйста, нужно 3 - без проблем)
",0.0
"Электрозаводская 21 - это студии КроссФото и ряд других.... Молодцы еще и ребят подставили
",0.0
"а еще когда чурка не стоит нормально, и ты рукой её придерживаешь во время замаха
",1.0
"Лет 50 ничего им не будет
",0.0
"Иронию Вашу понял. Смотрел, тоже впечатлило. Но фильм в посте был вообще сюрприз. Я даже не знаю, по-моему ни один фильм так не цеплял. Хотя далеко не из любимых фильмов.
",0.0
"Если не доказано, что нарочно сбил, не с целью причинить страдания, то всё норм.
",0.0
"эмм, ноль? в 2006 открылся первый, в 2018 последний - закрывающий программу по их постройке, на всю страну было что-то около 32, точно не помню.
",0.0
"Это сложно. Нет камеры на микроскопе.
",0.0
"Кто видел некоторое дерьмо? - поднимите лапу!
",1.0
"Как хорошо, что доктор Октавиус не педофил.
",1.0
"Ты или троль или диванный балабол. Я видел реально крутые кастомные мотоциклы. С очень ахуенной покраской. А не как на Уралах когда льют первую же попавшуюся краску которую нашли на складе. И ещё раз это стоит около 50к.
",1.0
"Че ты там мямлишь, утырок? Сопли подотри
",1.0
Пишу в эпичном треде А сойбой - хуесос,1.0
"Нарушение ст 10. Закона о защите прав потребителей. . Изготовитель (исполнитель, продавец) обязан своевременно предоставлять потребителю необходимую и достоверную информацию о товарах (работах, услугах), обеспечивающую возможность их правильного выбора. На основании данной статьи написал претензию
",0.0
"Оу, ты опять здесь. Всё пичОт?
",1.0
"15 лет назад, нам ничего не рассказывали. Так как в группе было много девок, сказали вам это не надо, будем правила учить .
",0.0
"Решается довольно легко - достаточно убирать похожие видосы опцией Не интересует и не лениться использовать опцию Расскажите почему .
",0.0
"Благодаря тупорылым анонам теперь известная и уже гребёт бабло.
",1.0
"Полгода-год назад где-то. Никто не знает.
",0.0
"А не надо подгузники пиздить.
",1.0
"ВНИМАНИЕ! 10 ЛЕТ ПРОТЕСТА АНАЛЬНОГО 10 ЛЕТ БЛЯДЬ БОРЬБЫ УУУУХХХХ НУ СЕГОДНЯ ТО ТОЧНО РИВАЛЮЦИЯ ПОЛЮЦИЯ, ДАВАЙТЕ КРЕСТЬЯНГИ ПОДДАТЬ ДОННАТОВ!
",1.0
"рекомендует книгу Черный лебедь ? ебать он дебил
",1.0
"купол у юниора похож на д-5, он болле квадратный ) если можно так сказать , подвеска как у д5 , но ранчик другой. а дуб это да д1-5у , и никаких вариантов.
",0.0
"Если про русский фильм не кричат из каждой подворотни, то люди на него даже не посмотрят. Я только сейчас увидел информацию по фильму. Нигде не видел даже не намека. Зато движение вверх даже находясь в изоляции в полной темноте, и то рекламу да пропехнули бы. Так что да, рекламщики были говно.
",0.0
"Из черепашек-ниндзя я смотрела только такие мультики Ну то есть, то что дальше следует. У меня как раз половое созревание наступило в момент выхода на наши экраны.
",0.0
"Да ты заебал! Уж что-что, а заслуги Жирди в 2к18 довольно смешно игнорировать. Нынешний национализм во многом его заслуга (ну не конкретно его, а скорее Спутника в целом, всей основной команды), и многие кажущиеся сейчас естественными и банальными вещи раньше не существовали. До СиПа национализм- это либо ебанашки, нелепо косплеющие язычество, либо боны-людоеды. А, ну ещё можно Широпаева вспомнить с давайте расхуярим Рашку на 10 маленьких рашек и тогда заживем . Многих смешит (скорее триггерит лол) словосочетание интеллектуальный национализм , но если сейчас это форс действительно имеет право на жизнь, то до Спутника можно было только упасть в обморок от хохота. Ну да, ты прав, наверно. Могу подписаться- Егорка на самом деле срется очень по-бабски, а Галковский немного поехал кукухой от личной неустроенности и десятилетий жизни одиночки с претензиями. Ну суть-то все равно одна- обоим кажется, что они от кого-то защищаются, а в итоге устраивают беспощадный френдлифаер.
",1.0
"Интересная версия. Не, а почему нет, вполне возможно. По крайней мере я не исключаю
",0.0
"Спасибо большое за дельный совет.
",0.0
"На десяток постов выше называет Абу чебуреком тупорылым Оценочное суждение в вопросительной интонации, составленное на основании ограниченной информации (фото бибизяна в профиле) побуждающее собеседника предоставить дополнительные данные об участнике обсуждения исходного сообщения.
",1.0
"В очередной раз убеждаюсь, что идиотам источник не помогает, идиоты будут читать писюльки с фантазиями журнашлюх.
",1.0
"Да, был запрещен с начала 40-х до 70-х в Америке, где и обрел массовую популярность в те времена, почему его виртуальный вариант и был установлен в качестве стоковой игры на виндоус в которую вы и играли)
",0.0
"Это все что есть, раз ценности особой не имеет то продавать не буду, пусть останутся на память. Всем спасибо.
",0.0
"та шо там хаварить, скатился пожилая скумбрия. маска все чаще слетает. раньше был нормальным а сейчас стал натуралом. ой то есть хеем.
",1.0
"Поначалу, я думал, что это пародия какая-то, юмор, ирония. Построение фраз отчётливо на это намекало. Но к ужасу моему оказалось, что тут всё серьёзно.
",0.0
"Судя по -всему, дебилы, которые готовы отдать за этот таз 1млн. руб закончились, а бабки как то осваивать надо
",1.0
"Это не от суровой жизни. В те времена к фотографиям относились серьёзно. Никто не улыбался.
",0.0
"Откуда вот в таком возрасте? Расскажи какую воду пьешь?
",1.0
"В DLC Beholder такое было. Прислали открытку с 85 летием, когда гг всего 65.
",0.0
"А когда то жёлтые и красные машинки были дешевле других цветов.
",0.0
"Ты похож на въебливого зануду. А, не, не похож - он и есть. Фу таким быть. Особенно, если сам ничего не можешь, кроме как говном в интернете кидаться. , нет ли тут нарушений правил VovkaBright
",1.0
"Не сложно найти, 10 секунд потребовалось.
",0.0
"вы серьезно считаете что черный рынок реально прикрыть? у нас цыгане в открытую торгуют какими-то сигаретами на россыпь и в пачках, ценами не интересовался
",0.0
"скорее всего будут штрафы для компаний не лицензировавших деятельность. Что дальше - увидим.
",0.0
"вы серьезно считаете что черный рынок реально прикрыть? у нас цыгане в открытую торгуют какими-то сигаретами на россыпь и в пачках, ценами не интересовался",0.0
"Стёб дураков, выдаваемый за искусство
",1.0
"Есть вопрос: Обязательно рисовать на заготовке или можно и на готовом изделии тоже?
",0.0
"У меня еще сложилось впечатление, что сейчас на улице сильный перекос в сторону девочек. То есть, что пацаны в принципе от компьютеров не отрываются.
",0.0
"А при чем тут сложный характер? В случае с ТС и вовсе, думаю, говнистость имеют ввиду, под сложностью. Потому что чаще всего именно так и бывает в жизни.
",0.0
"Неработающий дефиблилятор и врачи которые с неработающим оборудованием приезжают на вызов. Типичная рашка хуле. Пукен наш перзидент епта
",1.0
"Весь мир Прям смешно стало, свинявый
",1.0
"Таки как я это представил, у меня аж кипа с головы слетела",0.0
"Умеет - и в Adjoint (который по результатам решения показывает, как достичь цели в минимизации максимизации чего-либо), и теперь умеет в недавно запиленный Freeform - искривление геометрии. В отличии от fluent а имеет более вменяемую структуру проекта и способы манипуляции компонентами проекта - и грёбаных UDF на С там нет .. вернее при желании есть, но также доступны Field Functions в самом проекте, как в CFX.
",0.0
"Лохов-последователей насадили на бутылку, а глав-наебщик отмазался. Прям как окатыши с Лёхой.
",1.0
"Очень драматичным показался фильм Северная стена .
",0.0
"Да, такси везёт самые ублюдские пидарасы, таксист подрезал на дороге, какой-то дикий азиат, охуевающий от того, что по улицам не повозки с ослами ездят, а автомобили, отослал им на почту запись его броуновского движения по проспекту, им похуй!!просто проигнорили!вонючие ублюдские хапуги с долбоебами таксистами
",1.0
"а шакалы так вообще офигенные!
",0.0
"На Алиэкспрессе. Хотя в последние полгода завязал там покупать. Жульничество в каждом втором заказе. Еще года назад ничего такого не было. Платишь за трек - получаешь трек, а не левый трек с доставкой Янвенем и последующим спором. Споров за пару месяцев было больше, чем за предыдущие пять лет.
",0.0
"10.3.11 Поперечную арматуру следует устанавливать исходя из расчета на восприятие усилий, а также в целях ограничения развития трещин, удержания продольных стержней в проектном положении и закрепления их от бокового выпучивания в любом направлении. Поперечную арматуру устанавливают у всех поверхностей железобетонных элементов, вблизи которых ставится продольная арматура. Всё нормально, абзац связан с абзацем один, если поперечная нужна , то делается у поверхности всех элементов. Противоречия нет. 10.3.15 Всё тоже самое если они не нужны, то зачем. На круг дешевле, чем у вас. Нет. Посчитайте сколько обойдётся, снять плодородку и отсыпать с трамбовкой до требуемого уровня. В данном случае объём подсыпки 290 м3. И что? Где конкретно проблема? Это урал высокий снег, подъём по одному краю 0,8 м (из за снега) по другому 0,7м 1,5 м. Уложить бетон толщиной 10-15см проще, чем 2м в глубину. ровно уложить да сложнее, Нужно всю инженерку сразу по уму проложить и качественно, ибо потом доступа нет. Действительно дубово - это предложить всем грохать десятки кубов бетона в землю просто так. В обоснование указывать только то, что копать мало и арматура не нужна. 1. Я не заявлял что это оптимальный вариант это вариант репер. 2. Плита значительно менее универсальна чем лента. Проект же за несколько десятков тысяч рупий уменьшит вашу цену впополам минимум. Об этом я пишу постоянно, проект НУЖЕН, и не от строителя а от инженера.
",0.0
"Ну, ясно-понятно, высказать аргументы вы не можете, умеете только на минус нажать. Ок, я пошла - чего с безмозглыми разговаривать, всё равно скоро докраситесь за рулём и в дтп все и помрёте. Естественный отбор, чо.
",1.0
"В зимнее время на устранение любой аварии не более 24 часов. Загуглите лень искать ссылки. Звоните в мчс, полицию, пишите в прокуратуру, полицию. Составляйте акты отсуствия воды. Заставите перерасчет за месяц сделать, да и моральныф и материальный ущерб. Если не было предцпрежления и это авария не больше то ли 12 то ли 24 часов. Требуйте составлять акты отсуствия воды, ежедневные.
",0.0
"Так вызвали приехали ребята со штурмовой лестницей, метров до 4 поднялись, а дальше никак
",0.0
"У меня на жевательных зубах везде ровные площадки, но по краям бугры есть. Жевательная эффективность при этом не снижается и зубы полноценно функциональны. Все что показано на видео это из реставрационной стоматологии. По уму пломбировать нужно именно так, но это стоит дороже и по времени дольше. Даже зуб из видео почти со 100 верятностью будет разбалтывать сустав , ибо не проводилась пришлифовка зуба к антагонисту. Все эти борозды и внутренние скаты бугров (те что направлены к центру зуба) не играют никакой роли. Делается это для красоты (хотя кто ее будет видеть) ну и для собственного удовлетворения (особенно когда щупаешь языком зуб и он остался точно таким же как и был до лечения)
",0.0
"Я очень надеюсь что у автора поста нет детей. Чтоб такие размножались. Да это ж пипец...
",1.0
"Человек может не хотеть отопления и не хотеть за него платить и он будет прав. То, что имеющаяся техническая реализация отопления не позволяет отключить его одного, не является проблемой пользователя.
",0.0
"Могу ошибаться, но по итогу истории она не умерла и ближе к концу появилась.
",0.0
"Выше читай комментарии людей. Которые пишут бандит , враг народа
",1.0
"вот-вот, или уменьшается до мм на мм
",0.0
"А толку то? У негров писюны все равно больше.
",1.0
"Скажи, ты в развитии отстаешь или что? Скорее всего да, где блядь речь о запретах? Делай ты нахуй что хочешь, не надо фантазировать насчёт функционала, не менялся он и не меняется и речь об инстаграме где именно хештег коверкают как могут. В игнор, желания твои убогие фантазии читать больше нет. Напиши в поддержку ник смени, не позорь игру.
",1.0
"Красные пески, крутые горы и кратеры, Безумно красивые каналы рядом с экватором. Ничто не сравниться с тамошними закатами ....
",0.0
"бля пацаны дико извиняюсь, вкладки с тредами перепутал.
",1.0
"Кушай цветную капусту... И полезно и 0 калорий и живот заполняет самое то
",0.0
"Не погорячился. Качество изображения было не full HD, но и не экранка однозначно. Без субтитров и с дубляжем. Хз откуда оно было на торрентах, но оно было, факт.
",0.0
"Многие друзья пытавшиеся перейти на вейп теперь и вейп и сигареты дуют )
",0.0
"Типа есть, чем думать. Лично мне жаль, что его не у бало, как следует. На премию Дарвина прямой кандидат.",1.0
"Так в цифрах будет структура экспорта? Или только эмоции?
",0.0
"Пиво в подарок?Это унижение для обоих.
",0.0
"да пускай он у бродячей техаской собаки(гавайской обезьяны ?) сосёт , лишь бы не встретить, случайно, это чучело дрочащим свой член на улице.
",1.0
"Это где такая пенсия? Я в шоке просто... У бабушки с дедушкой недавно интересовался, 22 и 24 соответственно. Она учителем всю жизнь работала, дед от водителя до начальника гаража.
",0.0
"В то же время 10 лет назад как от Москвы до Самары автостопом можно было за световой летний день, сутки доехать.
",0.0
"В век интернета живём, драйвера легко находятся и ставятся на компьютер.
",0.0
"Либертарианцы - дегенераты и гидроцифалы
",1.0
"Такие вещи дарю я только самым близким людям. Так что, к сожалению нет) Но, возможно, со временем в мастерской будут проводиться конкурсы на такие вещи, но это не в ближайшие несколько месяцев точно)
",0.0
"Подумываю сменить телефон. Зашел в фирменный магазин самсунга подыскать модель. Всюду встроены сервисы от яндекса и офис от мелкомягких, и еще какой-то мусор. Часть, конечно, встроена в виде неудаляемых иконок, по которым приложение просто скачивается и устанавливается, но все же неприятно потом рыться в меню и скрывать деактивировать все это говно. Яндекс в самсунгах оказался встроен тяжеловесный и полноценный это при том, что я даже ок-гуглом не пользуюсь, алиса (или что там у тындекса) меня тем более не интересует. В общем, телефон сменить охота, а не на что: сяоми, лыжи, ху веи и иже с ними не вариант. Либо рутировать нынешний, либо купить новый и сразу рутировать его. Тогда зачем новый?
",0.0
"можете назвать ХОТЬ ОДНУ блядь нацию, которая лучше евреев? Любая европейская нация лучше еврейской (наверное поэтому у бугоизбранных от них так бомбит) жыды по уровню развития где-то на уровне русни (в чём-то лучше, в чём-то безнадёжно хуёвее)
",1.0
"Почему модерация двач-форума позволяет такие картинки Владимира Владимировича Пыни выкладывать? Я требую удалить это изображение. Владимир Владимирович Пыня нормального роста, 170 метров живого роста.
",1.0
"Несколько вариантов: 1) менты полицаи мусора господа полицейские будут морозиться и в результате напишут что-то вроде ущерб меньше 5к рублей, идите нахер, бумажку не дадит, заявление не примем, номер начальника не дадим . 2) вы найдете начальника, сумеете надавить и дело таки откроют. Но по краже. А первая кража, да еще хорошо характеризуемым человеком это либо условка либо административка. Вероятнее всего административка и штраф рублей 500. 3) вы аки дятел додолбитесь до наших защитников и они таки возбудят дело по статье грабеж группой лиц с угрозами и прочим. И тут уже зависит от настроения судьи. Может дать пятом, может дать условку, может вообще оправдать, ибо ну они же не все руки тянули, да еще пьяные были это смягчающее и так далее. 4) идеальный вариант - приходите, пишете заявление, их находят, в наручники, предъявляют грабеж группой лиц, неделя на опрос свидетелей, анализ видео, явки, суд, судья в хорошем настроении присуждаем им соответствующий срок(ну года 2-3). У нас за убийство то 3-5 дают, а тут просто грабеж.
",1.0
"у нас было другое развлечение, забрать одежду раньше всех из шкафа после уроков, причем ломились как парни так и девчонки ну и девчонок в давке лайтово щупали, но это уже класс 7-8 был.
",0.0
"Руснявые бесвкусные додики даже до уровня лил пипа не дорасли. Быстрее сдохнут уебаны - быстрее нормальная музыка в ру сегменте появится.
",1.0
"Пусть стрим на канале этой тупой шаболды, но он нереально ламповый и пиздатый. Прямое общение, шутеечки и песенки - что может быть лучше, вот это контент.
",1.0
"Сдохла тварь да и хуй с ней. На её руках кровь русских людей.
",1.0
"фор тек труст. она вполне милая. если бы я любил жирных бабеней - я бы с этой не слезал.
",1.0
"Первой пилим часть где три уха, по наружке до середины какой-нибудь широкой канавки, внутрянку сверлим насквозь и растачиваем с 20мм включительно, вторая установка между ушами трехкулачковым патроном и пилим до конца.
",0.0
"Смешно, но для больших зп есть льготы по взносам.
",0.0
"Жаль долго с ним разговаривали, надо сразу таких мордой в капот
",1.0
"Магические элементалы, например. )",0.0
"6 , если тратишь хотя бы 3к в месяц с карты
",0.0
"А холодильнику не поплохеет от такой перевозки?
",0.0
"Дима, если кому-то здесь и ссут в лицо, так это твоей мамаше-шлюхе.
",1.0
"Работала в лм (Воронеж) 1,5 года. Работники некоторые были и правда не очень люди, но как правило не задерживались такие. По поводу вычетов - видать мое повезло, у нас только квартальные премии были. Ну руководитель сектора уж слишком правильный был (перенос выходного - это целая проблема). А так учится и работать в Леруа вообще замечательно
",0.0
"я думал они его сжечь попытались, а потом потушить путем утопления
",1.0
"Что писали: Откуда цифра взялась. Но я не помню откуда Хотя бы пяток мест назови Влом эти стены текста перечитывать, это давно минувшие дни)
",0.0
"ТБ по пизде идёт, но кошка клёвая.
",1.0
Грамматикуса вспомнил. Один в один прямо),0.0
Именно. Работник что-ли штат этот придумывал,0.0
"На третьей гифке такие лица глупые, но почему-то конкретно их это не портит, наоборот, выглядит очень мило
",1.0
"На комп нужен хороший блок питания, который сам является стабилизатором.
",0.0
"У нас в автопарке минимум четверть работников такие. А вот на алкотестере попадаются в основном те, кто почти не употребляет.
",0.0
"А я в Шерегеш работал, я даже глубину горизонтов не помню ниже 255, вроде по 70 метров разница. И я рад, что это в прошлом.
",0.0
"можно ссылку на статью иные меры процессуального характера ? сам нашёл только главу 14 ук рф, но она вообще о другом
",0.0
"по мне так лазерная дольше будет храниться чем с матричного принтера...
",0.0
"тут вот ниже по ветке разошлись мнения. Кто то говорит,что чезет,кто ява. Может явы разные обсуждаются,разные модели,как вариант.
",1.0
"А вот и совок обосраный.
",1.0
"Обивку лучше химчистка, душевую кабину силит бенк, пароочиститель убирает застарелый жир, а с известью хуже справляется.
",1.0
"Все комментарии прочитал, но так и не нашёл. Знает кто как это делается? Сенсорные экраны на весь мост имхо дорого, а о заделывающемся стекле я ещё не слышал. Была мысль с тонким льдом, но трещины слишком быстро исчезают и целиком.
",0.0
"У нас в Сибири до Польши далеко. Гораздо ближе окрестные деревни, где перекупы скупают мясо у населения, везут в город и продают с накруткой. Большим сетям такие объёмы неинтересны, поэтому такой бизнес имеет место быть. Сетевики имеют дело с крупными производителями, поставляющими десятки и сотни тонн мяса. Конечная цена мяса не сильно отличается, а вот качество у частника намного лучше. Хоть и там и там животное вскормлено на комбикорме, но деревенская скотина питается лучше, видит больше солнца и т.д., что сказывается на качестве мяса.
",0.0
"А как же она раньше работала? Открою тебе секрет, Питер не вырос в мегаполис из деревеньки. Он изначально строился как город, и ни разу не маленький. И как-то же работала обсерватория. И выбирали ее расположение люди умнее и лучше нынешних административных функционеров.
",0.0
"если на борде не будет хохлов то не будет про них постов
",1.0
стрелять в орущее быдло,1.0
"Выучить врача - это задача 16-18 лет (школа 11 лет, 4-7 лет мед институт). А ещё надо откудато взять тех, кто будет обучать, это преподаватели. Если образование в жопе и сокращается, то даже при наличии дохулиарда денег, будет нехватка квалифицированной рабочей силы. Бизнес, предприниматель, никогда не будет выстраивать планы на 20 лет вперёд. В этом нет никакой выгоды. Он возьмётся за это только при гос. финансировании. И это задача государственного планирования: выстроить школы, образование на десятки лет вперёд. Если умирает образование, умирают все отрасли, потому что специалисты стареют, новые не появляются. Это не вопрос денег, это вопрос прежде всего государственной политики. И в капитализме никто не стремится сделать лечением общедоступным всему населению. Лечение будет получать тот, у кого есть на это деньги. А поэтому не нужно держать большой штат мед. персонала, чтобы покрыть всё население. То что это в перспективе может привести к проблемам, как например отказ от прививок привёл к вспышке кори на Украине - капиталистов мало волнует. Только когда будет реальная угроза что рабочее население страдает, мрёт и доходы от этого падают, начнутся какие-то вливание в медицину. Всегда медицину будут держать уровень - чтобы могли работать, а потом пусть сдохнут . Ни о каком сокращении рабочего дня и речи не идёт. Там где нужно регулярное присутствие персонала (экстренные службы), чтобы сократить работникам нагрузку, нужно просто больше персонала нанять. А это большие издержки по зарплате. Это когда вместо одной медсестры на сутки дежурства, две - каждая по 12 часов. И платить им нужно не в 2 раза меньше чем одной, а каждой столько, чтобы нормально хватало и человек был обеспечен.
",0.0
